"","Country","ccode","region","deaths10k","deaths_tot","nurses10k","population_tot","vac_tot","vac10k"
"35","Chile","CHL","AMRO",33.7763200627268,64013,43.48,18952035,64599073,34085.5602050123
"36","China","CHN","WPRO",0.829860185074556,118984,30.83,1433783692,3465113661,24167.6180328602
"37","Colombia","COL","AMRO",28.3229196636125,142576,14.56,50339443,90210929,17920.5258588181
"38","Comoros","COM","AFRO",1.89213424516184,161,14.83,850891,835021,9813.48962440548
"39","Congo","COG","AFRO",0.72112203615126,388,9.69,5380504,833210,1548.57240139585
"40","Costa Rica","CRI","AMRO",18.2167189262299,9195,38.02,5047561,12778229,25315.650469603
"41","Côte d’Ivoire","CIV","AFRO",0.323915871465516,833,6.56,25716554,24416782,9494.57769497422
"42","Croatia","HRV","EURO",43.9816438948974,17928,81.22,4076246,5357755,13143.8460779845
"43","Cuba","CUB","AMRO",7.52637053177999,8530,75.61,11333484,38012728,33540.1964656235
"44","Cyprus","CYP","EURO",14.761975981249,1293,52.51,875899,1856599,21196.4963996991
"45","Czechia","CZE","EURO",39.7735168735563,42358,89.34,10649800,18602204,17467.1862382392
"46","Democratic Republic of the Congo","COD","AFRO",0.168681924054236,1464,11.1,86790568,9988117,1150.82977680247
"47","Denmark","DNK","EURO",14.1334576627505,8206,105.4,5806081,15114372,26031.9688960591
"48","Djibouti","DJI","EMRO",1.94133471383802,189,7.29,973557,384617,3950.63668588485
"49","Dominica","DMA","AMRO",10.3052584670232,74,60.98,71808,67647,9420.53810160428
"50","Dominican Republic","DOM","AMRO",4.08233313533148,4384,14.59,10738957,15917363,14822.0753654196
"51","Ecuador","ECU","AMRO",20.7256307638628,36008,25.06,17373657,39465766,22715.8657500836
"52","Egypt","EGY","EMRO",2.47130944117307,24809,19.26,100388076,102088497,10169.384758405
"53","El Salvador","SLV","AMRO",6.55453200176647,4230,18.34,6453550,11379601,17633.0872155635
"54","Equatorial Guinea","GNQ","AFRO",1.34957543684208,183,3.1,1355982,488738,3604.31038170123
"55","Estonia","EST","EURO",22.0331818662158,2919,66.08,1324820,2194815,16566.8921060974
